127.0.0.1 - - [04/May/2020:19:41:49 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [04/May/2020:19:43:42 +0530] "GET /mvc2//studentServlet HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [04/May/2020:19:43:42 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [04/May/2020:19:47:49 +0530] "GET /mvc2//studentServlet HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [04/May/2020:19:49:05 +0530] "GET /mvc2/studentServlet?name=ajay&age=10 HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [04/May/2020:19:51:48 +0530] "GET /mvc2/studentServlet?name=ajay&age=10 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [04/May/2020:19:54:37 +0530] "GET /mvc2/studentServlet?name=ajay&age=10 HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [04/May/2020:19:56:15 +0530] "GET /mvc2/studentServlet?name=ajay&age=10 HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [04/May/2020:19:57:25 +0530] "GET /mvc2/studentServlet?name=ajay&age=10 HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [04/May/2020:19:58:42 +0530] "GET /mvc2/studentServlet?name=ajay&age=10 HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [04/May/2020:19:58:47 +0530] "GET /mvc2/studentServlet?name=ajay&age=10 HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [04/May/2020:20:04:26 +0530] "POST /mvc2/studentServlet?name=ajay&age=10 HTTP/1.1" 405 752
0:0:0:0:0:0:0:1 - - [04/May/2020:20:04:45 +0530] "POST /mvc2/studentServlet?name=ajay&age=10 HTTP/1.1" 405 752
0:0:0:0:0:0:0:1 - - [04/May/2020:20:04:57 +0530] "GET /mvc2/studentServlet?name=ajay&age=10 HTTP/1.1" 200 28
